source,State,District,Rivers / Streams,start_date
court_docs,Madhya Pradesh,"Jabalpur, Alirajpur, Betul, Bhind",Narmada,2020-02-28 18:30:00+00
court_docs,Madhya Pradesh,Gwalior,Sindh,2020-09-04 18:30:00+00
court_docs,Haryana,,"yamuna, Ghaggar, Tangri, Markanda, Krishnavati, Dohan",
court_docs,"Uttar Pradesh, Rajasthan, Madhya Pradesh","Dhaulpur, Morena, Gwalior, Bhind, Bharatpur, Etawah, Jhansi",Chambal,2022-03-30 18:30:00+00
court_docs,Madhya Pradesh,Jabalpur,Narmada,2025-02-13 18:30:00+00
court_docs,Madhya Pradesh,Bhind,Sindh,2025-02-10 18:30:00+00
court_docs,Madhya Pradesh,Dhar,,2023-08-08 18:30:00+00
court_docs,Madhya Pradesh,Narsimhapur,Dudhi,2020-10-23 18:30:00+00
court_docs,Madhya Pradesh,Jabalpur,Narmada,2025-05-28 18:30:00+00
court_docs,Uttar Pradesh,Ghaziabad,Yamuna,2023-12-01 18:30:00+00
court_docs,Madhya Pradesh,Sehore,Narmada,2021-09-23 18:30:00+00
court_docs,Maharashtra,Nagpur,"Kanhan, Pench",2022-03-26 07:00:00+00
court_docs,Maharashtra,Sindhudurg,Gad (Maharashtra),2022-02-28 18:30:00+00
court_docs,Odisha,"Bargarh, Jharsuguda",Mahanadi,2024-07-08 18:30:00+00
court_docs,Andhra Pradesh,"Guntur, Krishna, Mahbubnagar, Medak, Nizamabad, Prakasam, Y.s.r. / Kadapa, Visakhapatnam, Warangal, Anantapur, East Godavari, Chittoor, Hyderabad, Kurnool, Nalgonda, Vizianagaram, West Godavari, Srikakulam, Annamayya, Sri Sathya Sai, Palnadu / Narasaraopet, Rangareddy, Tirupati, Bapatla, Dr. B. R. Ambedkar Konaseema / Konaseema, Sri Potti Sriramulu Nellore, Nandyal, Kakinada, Khammam, East Godavari, Karimnagar",,2023-06-23 18:30:00+00
court_docs,Madhya Pradesh,Jabalpur,Narmada,2021-10-07 18:30:00+00
court_docs,Madhya Pradesh,Seoni,,2022-05-25 18:30:00+00
court_docs,Madhya Pradesh,"Jabalpur, Narsimhapur",Narmada,2015-10-15 18:30:00+00
court_docs,Madhya Pradesh,Bhind,Chambal,2022-09-21 18:30:00+00
court_docs,Uttar Pradesh,Hamirpur,Betwa,2019-08-22 18:30:00+00
court_docs,Madhya Pradesh,"Morena, Gwalior, Bhind, Datia",Chambal,2021-07-22 18:30:00+00
court_docs,Madhya Pradesh,Chhindwara,Kanhan,2018-01-30 18:30:00+00
court_docs,Karnataka,"Gadag, Raichur, Kalaburagi / Gulbarga",,2020-10-06 18:30:00+00
court_docs,Madhya Pradesh,Morena,Chambal,2022-03-30 18:30:00+00
court_docs,Madhya Pradesh,Harda,Narmada,2025-05-17 18:30:00+00
court_docs,Madhya Pradesh,Shahdol,,2023-08-28 18:30:00+00
court_docs,Bihar,Banka,"Chanan, Chir, Sukhaniya, Badua, Kurar, Odhni, Darbhasan",2020-06-16 18:30:00+00
court_docs,Madhya Pradesh,,,2023-11-24 18:30:00+00
court_docs,Madhya Pradesh,Bhind,,2020-09-28 18:30:00+00
court_docs,Uttar Pradesh,Hamirpur,,2024-10-01 18:30:00+00
court_docs,Madhya Pradesh,Datia,Sindh,2014-03-07 18:30:00+00
court_docs,Assam,Bajali,Kaldiya,2024-09-23 18:30:00+00
court_docs,Madhya Pradesh,Barwani,Narmada,2020-02-04 18:30:00+00
court_docs,Madhya Pradesh,Panna,Jhanpar,2023-08-17 18:30:00+00
court_docs,Madhya Pradesh,Shivpuri,,2023-01-17 18:30:00+00
court_docs,Madhya Pradesh,Balaghat,Wainganga,2023-04-18 18:30:00+00
court_docs,Madhya Pradesh,Jabalpur,,2017-03-10 18:30:00+00
court_docs,Madhya Pradesh,Shahdol,,2022-12-02 18:30:00+00
court_docs,Madhya Pradesh,Raisen,Narmada,2022-01-25 18:30:00+00
court_docs,Madhya Pradesh,Singrauli,Mahan,2025-04-15 18:30:00+00
court_docs,Rajasthan,Dhaulpur,Chambal,2022-03-30 18:30:00+00
court_docs,Madhya Pradesh,Bhind,Chambal,2024-02-01 18:30:00+00
court_docs,Madhya Pradesh,Betul,Narmada,2023-05-24 18:30:00+00
court_docs,"Odisha, West Bengal","Baleshwar, Paschim Medinipur",Subarnarekha,2017-05-29 18:30:00+00
court_docs,Uttar Pradesh,Shamli,Yamuna,2024-05-04 18:30:00+00
court_docs,Madhya Pradesh,Narmadapuram,Narmada,2021-01-01 18:30:00+00
court_docs,Madhya Pradesh,Seoni,Hirri,2024-07-15 18:30:00+00
court_docs,Madhya Pradesh,Mandsaur,"Chambal, Shivna, Retam",2001-01-01 18:30:00+00
court_docs,Madhya Pradesh,Jabalpur,Narmada,2021-10-07 18:30:00+00
court_docs,Karnataka,Bagalkot,Krishna,2025-01-13 18:30:00+00
court_docs,Madhya Pradesh,,Chambal,2008-01-01 18:30:00+00
court_docs,Madhya Pradesh,Burhanpur,Tapi,2025-01-01 18:30:00+00
court_docs,Madhya Pradesh,Shahdol,Sone,2023-11-30 18:30:00+00
court_docs,Madhya Pradesh,"Panna, Chhatarpur",Ken,2013-01-01 18:30:00+00
court_docs,Goa,"North Goa, South Goa","Zuari, Mandovi",2024-04-01 18:30:00+00
court_docs,Madhya Pradesh,Barwani,Narmada,2022-08-23 18:30:00+00
court_docs,Madhya Pradesh,Dewas,"Narmada, Kali Sindh, Shipra",2022-05-07 18:30:00+00
court_docs,Rajasthan,Dhaulpur,Chambal,2022-03-30 18:30:00+00
court_docs,Madhya Pradesh,Seoni,"Narmada, Wainganga",2022-05-25 18:30:00+00
court_docs,Madhya Pradesh,Sagar,,2020-08-13 18:30:00+00
court_docs,Madhya Pradesh,Vidisha,,2019-04-24 18:30:00+00
court_docs,Madhya Pradesh,Bhind,Sindh,2017-11-20 18:30:00+00
court_docs,Madhya Pradesh,"Dhar, Barwani, Alirajpur, Khargone (West Nimar)",Narmada,2015-01-01 18:30:00+00
court_docs,Madhya Pradesh,Singrauli,Sone,2022-06-15 18:30:00+00
court_docs,Madhya Pradesh,Jabalpur,Narmada,2024-07-25 18:30:00+00
court_docs,Goa,South Goa,Zuari,2024-04-01 18:30:00+00
court_docs,Odisha,Bhadrak,Baitrani,2021-09-22 18:30:00+00
court_docs,Haryana,Sonipat,yamuna,2023-04-17 18:30:00+00
