Country,State,Year,City,Location,"Number Of Monitoring Days (UOM:Number), Scaling Factor:1","Minimum Concentration Of Particulate Matter Less Than Or Equal To 25 Micro Grams Per Cubic Meter Of Air Considered In 24-Hourly Average In ╡G/M3 (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1","Maximum Concentration Of Particulate Matter Less Than Or Equal To 25 Micro Grams Per Cubic Meter Of Air Considered In24-Hourly Average In ╡G/M3 (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1","Concentration Of Particulate Matter Less Than Or Equal To 25 Micro Grams Per Cubic Meter Of Air Considered In Annual Average In ╡G/M3 (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2023",Port Blair,,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Amaravati,,,,,34
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Anantapur,,,,,24
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Chittoor,,,,,33
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Kadapa,,,,,34
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Kakinada,,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Kurnool,,,,,30
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Rajahmundry/ Rajamahendravaram,,,,,38
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Srikakulam,,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Tirupati,,,,,32
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Vijayawada,,,,,38
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Visakhapatnam,,,,,50
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Vizianagaram,,,,,28
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2023",Naharlagun,,,,,24
India,Assam,"Calendar Year (Jan - Dec), 2023",Bongaigaon,,,,,24
India,Assam,"Calendar Year (Jan - Dec), 2023",Brynihat,,,,,146
India,Assam,"Calendar Year (Jan - Dec), 2023",Guwahati,,,,,57
India,Assam,"Calendar Year (Jan - Dec), 2023",Nagaon,,,,,51
India,Assam,"Calendar Year (Jan - Dec), 2023",Nalbari,,,,,61
India,Assam,"Calendar Year (Jan - Dec), 2023",Silcher,,,,,17
India,Assam,"Calendar Year (Jan - Dec), 2023",Sivasagar,,,,,18
India,Assam,"Calendar Year (Jan - Dec), 2023",Tinsukia,,,,,24
India,Bihar,"Calendar Year (Jan - Dec), 2023",Araria,,,,,73
India,Bihar,"Calendar Year (Jan - Dec), 2023",Arrah,,,,,84
India,Bihar,"Calendar Year (Jan - Dec), 2023",Aurangabad,,,,,61
India,Bihar,"Calendar Year (Jan - Dec), 2023",Begusarai,,,,,147
India,Bihar,"Calendar Year (Jan - Dec), 2023",Bettiah,,,,,85
India,Bihar,"Calendar Year (Jan - Dec), 2023",Bhagalpur,,,,,82
India,Bihar,"Calendar Year (Jan - Dec), 2023",Bihar Sharif,,,,,42
India,Bihar,"Calendar Year (Jan - Dec), 2023",Chhapra,,,,,82
India,Bihar,"Calendar Year (Jan - Dec), 2023",Gaya,,,,,59
India,Bihar,"Calendar Year (Jan - Dec), 2023",Hajipur,,,,,57
India,Bihar,"Calendar Year (Jan - Dec), 2023",Katihar,,,,,89
India,Bihar,"Calendar Year (Jan - Dec), 2023",Kishanganj,,,,,57
India,Bihar,"Calendar Year (Jan - Dec), 2023",Manguraha,,,,,47
India,Bihar,"Calendar Year (Jan - Dec), 2023",Motihari,,,,,47
India,Bihar,"Calendar Year (Jan - Dec), 2023",Munger,,,,,73
India,Bihar,"Calendar Year (Jan - Dec), 2023",Muzaffarpur,,,,,83
India,Bihar,"Calendar Year (Jan - Dec), 2023",Patna,,,,,90
India,Bihar,"Calendar Year (Jan - Dec), 2023",Purnia,,,,,89
India,Bihar,"Calendar Year (Jan - Dec), 2023",Rajgir,,,,,73
India,Bihar,"Calendar Year (Jan - Dec), 2023",Saharsa,,,,,89
India,Bihar,"Calendar Year (Jan - Dec), 2023",Samastipur,,,,,82
India,Bihar,"Calendar Year (Jan - Dec), 2023",Sasaram,,,,,57
India,Bihar,"Calendar Year (Jan - Dec), 2023",Siwan,,,,,88
India,Chandigarh,"Calendar Year (Jan - Dec), 2023",Chandigarh,,,,,58
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Bilaspur,,,,,31
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Chhal,,,,,28
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Durg Bhillainagar,,,,,31
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Korba,,,,,31
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Kunjemura,,,,,19
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Milupara,,,,,22
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Raigarh,,,,,38
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Raipur,,,,,31
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Tumidh,,,,,35
India,Delhi,"Calendar Year (Jan - Dec), 2023",Delhi,,,,,105
India,Goa,"Calendar Year (Jan - Dec), 2023",Mapusa,,,,,
India,Goa,"Calendar Year (Jan - Dec), 2023",Panaji,,,,,21
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Ahmedabad,,,,,39
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Ankleshwar,,,,,47
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Gandhinagar,,,,,48
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Nandesari,,,,,18
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Rajkot,,,,,25
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Surat,,,,,50
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Vadodara,,,,,26
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Vapi,,,,,60
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Vatva,,,,,54
India,Haryana,"Calendar Year (Jan - Dec), 2023",Ambala,,,,,42
India,Haryana,"Calendar Year (Jan - Dec), 2023",Bahadurgarh,,,,,76
India,Haryana,"Calendar Year (Jan - Dec), 2023",Ballabgarh,,,,,65
India,Haryana,"Calendar Year (Jan - Dec), 2023",Bhiwani,,,,,67
India,Haryana,"Calendar Year (Jan - Dec), 2023",Charkhi Dadri,,,,,77
India,Haryana,"Calendar Year (Jan - Dec), 2023",Dharuhera,,,,,80
India,Haryana,"Calendar Year (Jan - Dec), 2023",Faridabad,,,,,86
India,Haryana,"Calendar Year (Jan - Dec), 2023",Fatehabad,,,,,65
India,Haryana,"Calendar Year (Jan - Dec), 2023",Gurgaon,,,,,90
India,Haryana,"Calendar Year (Jan - Dec), 2023",Hissar,,,,,66
India,Haryana,"Calendar Year (Jan - Dec), 2023",Jind,,,,,65
India,Haryana,"Calendar Year (Jan - Dec), 2023",Kaithal,,,,,69
India,Haryana,"Calendar Year (Jan - Dec), 2023",Karnal,,,,,50
India,Haryana,"Calendar Year (Jan - Dec), 2023",Kurukshetra,,,,,63
India,Haryana,"Calendar Year (Jan - Dec), 2023",Mandikhera,,,,,22
India,Haryana,"Calendar Year (Jan - Dec), 2023",Manesar,,,,,77
India,Haryana,"Calendar Year (Jan - Dec), 2023",Narnaul,,,,,62
India,Haryana,"Calendar Year (Jan - Dec), 2023",Palwal,,,,,30
India,Haryana,"Calendar Year (Jan - Dec), 2023",Panchukula Urban Estate,,,,,51
India,Haryana,"Calendar Year (Jan - Dec), 2023",Panipat,,,,,42
India,Haryana,"Calendar Year (Jan - Dec), 2023",Rohtak,,,,,70
India,Haryana,"Calendar Year (Jan - Dec), 2023",Sirsa,,,,,43
India,Haryana,"Calendar Year (Jan - Dec), 2023",Sonipat,,,,,64
India,Haryana,"Calendar Year (Jan - Dec), 2023",Yamuna Nagar,,,,,62
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Baddi,,,,,53
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Damtal,,,,,23
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Dharamshala,,,,,22
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Kala Amb,,,,,49
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Manali,,,,,12
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Nalagarh,,,,,25
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Parwanoo,,,,,11
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Poanta Sahib,,,,,38
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Shimla,,,,,14
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Sunder Nagar,,,,,22
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Una,,,,,25
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2023",Vashisht,,,,,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2023",Jammu,,,,,23
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2023",Ramban (J),,,,,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2023",Srinagar (K),,,,,30
India,Jharkhand,"Calendar Year (Jan - Dec), 2023",Dhanbad,,,,,68
India,Jharkhand,"Calendar Year (Jan - Dec), 2023",Jamshedpur,,,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2023",Jorapokhar,,,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2023",Ranchi,,,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Bagalkote,,,,,23
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Bangalore,,,,,33
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Belgaum,,,,,28
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Bidar,,,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Bijapur / Vijayapura,,,,,20
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Chamarajanagar,,,,,18
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Chikkaballapur,,,,,31
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Chikkamagaluru,,,,,18
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Devanagere,,,,,28
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Gadag,,,,,21
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Gulbarga / Kalaburgi,,,,,29
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Hassan,,,,,27
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Haveri,,,,,30
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Hubli Dharwad,,,,,28
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Kolar,,,,,28
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Koppal,,,,,19
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Madikeri,,,,,19
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Mandya,,,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Mangalore,,,,,33
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Mysore,,,,,22
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Raichur,,,,,19
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Ramanagara,,,,,27
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Shimaga / Shivamogga,,,,,20
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Tumkuru,,,,,37
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Udupi,,,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2023",Yadgir,,,,,32
India,Kerala,"Calendar Year (Jan - Dec), 2023",Alappuzha,,,,,
India,Kerala,"Calendar Year (Jan - Dec), 2023",Eloor,,,,,29
India,Kerala,"Calendar Year (Jan - Dec), 2023",Kannur,,,,,35
India,Kerala,"Calendar Year (Jan - Dec), 2023",Kochi,,,,,34
India,Kerala,"Calendar Year (Jan - Dec), 2023",Kollam,,,,,34
India,Kerala,"Calendar Year (Jan - Dec), 2023",Kottayam,,,,,
India,Kerala,"Calendar Year (Jan - Dec), 2023",Kozhikode,,,,,
India,Kerala,"Calendar Year (Jan - Dec), 2023",Mallappuram,,,,,24
India,Kerala,"Calendar Year (Jan - Dec), 2023",Palakkad,,,,,
India,Kerala,"Calendar Year (Jan - Dec), 2023",Pathanamthitta,,,,,
India,Kerala,"Calendar Year (Jan - Dec), 2023",Thiruvanantapuram,,,,,23
India,Kerala,"Calendar Year (Jan - Dec), 2023",Thrissur,,,,,37
India,Kerala,"Calendar Year (Jan - Dec), 2023",Wayanad,,,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2023",Jammu,,,,,23
India,Ladakh,"Calendar Year (Jan - Dec), 2023",Ramban (J),,,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2023",Srinagar (K),,,,,30
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Amlai,,,,,24
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Bhopal,,,,,47
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Chindwara,,,,,31
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Damoh,,,,,16
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Dewas,,,,,41
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Gwalior,,,,,66
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Indore,,,,,43
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Jabalpur,,,,,40
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Katni,,,,,45
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Maihar,,,,,25
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Mandideep,,,,,44
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Pithampur,,,,,42
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Ratlam,,,,,40
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Sagar,,,,,29
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Satna,,,,,27
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Singrauli,,,,,54
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2023",Ujjain,,,,,47
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Ahmednagar,,,,,34
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Akola,,,,,46
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Amravati,,,,,38
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Aurangabad,,,,,51
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Badlapur,,,,,45
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Belapur,,,,,30
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Bhiwandi,,,,,50
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Boisar,,,,,50
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Chandrapur,,,,,51
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Dhule,,,,,48
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Dombivali / Kalyan,,,,,41
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Jalgaon,,,,,48
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Jalna,,,,,38
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Kolhapur,,,,,30
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Latur,,,,,35
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Mahad,,,,,38
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Malegao,,,,,36
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Mira Bhayander,,,,,46
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Mumbai,,,,,47
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Nagpur,,,,,52
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Nanded,,,,,34
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Nashik,,,,,38
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Navi Mumbai,,,,,59
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Parbhani,,,,,39
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Pimpri Chinchwad,,,,,49
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Pune,,,,,52
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Roha,,,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Sangli,,,,,31
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Solapur,,,,,37
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Tarapur,,,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Thane,,,,,34
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Ulhas Nagar,,,,,59
India,Maharashtra,"Calendar Year (Jan - Dec), 2023",Vasai virar,,,,,44
India,Manipur,"Calendar Year (Jan - Dec), 2023",Imphal,,,,,41
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Byraihat,,,,,49
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Dawki,,,,,24
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Khlihriat,,,,,27
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Nongstoin,,,,,23
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Shillong,,,,,31
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Tura,,,,,21
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Umsning,,,,,35
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Aizwal,,,,,12
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Champhai,,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Kolasib,,,,,8
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Lawngtlai,,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Lunglei,,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Mamit,,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Serchhip,,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Siaha,,,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2023",Dimapur,,,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2023",Kohima,,,,,33
India,Odisha,"Calendar Year (Jan - Dec), 2023",Angul,,,,,72
India,Odisha,"Calendar Year (Jan - Dec), 2023",Balasore,,,,,61
India,Odisha,"Calendar Year (Jan - Dec), 2023",Baripada,,,,,47
India,Odisha,"Calendar Year (Jan - Dec), 2023",Bhubaneshwar,,,,,46
India,Odisha,"Calendar Year (Jan - Dec), 2023",Bileipada,,,,,63
India,Odisha,"Calendar Year (Jan - Dec), 2023",Brajrajnagar,,,,,34
India,Odisha,"Calendar Year (Jan - Dec), 2023",Cuttack,,,,,55
India,Odisha,"Calendar Year (Jan - Dec), 2023",Jharsuguda,,,,,55
India,Odisha,"Calendar Year (Jan - Dec), 2023",Keonjhar,,,,,55
India,Odisha,"Calendar Year (Jan - Dec), 2023",Konark,,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2023",Nayagarh,,,,,56
India,Odisha,"Calendar Year (Jan - Dec), 2023",Paradeep,,,,,44
India,Odisha,"Calendar Year (Jan - Dec), 2023",Puri,,,,,26
India,Odisha,"Calendar Year (Jan - Dec), 2023",Rairangpur,,,,,60
India,Odisha,"Calendar Year (Jan - Dec), 2023",Rourkela,,,,,56
India,Odisha,"Calendar Year (Jan - Dec), 2023",Sambalpur,,,,,44
India,Odisha,"Calendar Year (Jan - Dec), 2023",Suakati,,,,,54
India,Odisha,"Calendar Year (Jan - Dec), 2023",Talcher,,,,,54
India,Odisha,"Calendar Year (Jan - Dec), 2023",Tensa,,,,,43
India,Puducherry,"Calendar Year (Jan - Dec), 2023",Karaikal,,,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2023",Pondicherry,,,,,24
India,Punjab,"Calendar Year (Jan - Dec), 2023",Amritsar,,,,,59
India,Punjab,"Calendar Year (Jan - Dec), 2023",Aspal Khurd (Tapa),,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Barnala,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Batala,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Bhatinda,,,,,51
India,Punjab,"Calendar Year (Jan - Dec), 2023",Changal (Sangrur),,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Dera Baba Nanak,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Dera Bassi,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Faridkot,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Fatehpur (Samana),,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Fazilka,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Gurdaspur,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Guru Ki Dhab (Kotkapura),,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Jaito Sarja (Batala),,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Jalandhar,,,,,52
India,Punjab,"Calendar Year (Jan - Dec), 2023",Khanna,,,,,41
India,Punjab,"Calendar Year (Jan - Dec), 2023",Kharaori (Sirhind),,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Kotladoom (Ajnala),,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Lakho ke Behram (Ferozpur),,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Ludhiana,,,,,61
India,Punjab,"Calendar Year (Jan - Dec), 2023",Malerkota,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Mandi Gobindgarh,,,,,68
India,Punjab,"Calendar Year (Jan - Dec), 2023",Moga,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Mohali,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Mrar Kalan (Muktsar),,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Mukandpur (Nawashahar),,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Mureedke (Batala),,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Naudhrani (Malerkotla),,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Naya Nangal,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Patiala,,,,,43
India,Punjab,"Calendar Year (Jan - Dec), 2023",Peer Mohammad (Jalalabad),,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Poohli (Bhatinda),,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Qila Bharian (Sangrur),,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Rakhra (Patiala),,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Rohila (Samrala),,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Rupnagar,,,,,50
India,Punjab,"Calendar Year (Jan - Dec), 2023",SBS nagar,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Sirhind,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Taran-Tarn,,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2023",Tirathpur (Amritsar I),,,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Ajmer,,,,,46
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Alwar,,,,,42
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Banswara,,,,,45
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Baran,,,,,52
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Barmer,,,,,28
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Bharatpur,,,,,65
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Bhilwara,,,,,55
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Bhiwadi,,,,,77
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Bikaner,,,,,53
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Bundi,,,,,46
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Chittorgargh,,,,,55
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Churu,,,,,47
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Dausa,,,,,54
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Dholpur,,,,,68
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Dungarpur,,,,,52
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Hanumangarh,,,,,81
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Jaipur,,,,,55
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Jaisalmer,,,,,39
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Jalore,,,,,56
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Jhalawar,,,,,40
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Jhunjhunu,,,,,55
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Jodhpur,,,,,45
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Karauli,,,,,31
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Kota,,,,,60
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Nagaur,,,,,43
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Pali,,,,,54
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Pratapgarh,,,,,36
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Rajasmand,,,,,38
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Sawai Madhopur,,,,,45
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Sikar,,,,,44
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Sirohi,,,,,30
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Sri Ganganagar,,,,,69
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Tonk,,,,,56
India,Rajasthan,"Calendar Year (Jan - Dec), 2023",Udaipur,,,,,48
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Gangtok,,,,,16
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Mangan,,,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Namchi,,,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Pelling,,,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Ravangla,,,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2023",Singtam,,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Ariyalura,,,,,24
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Chengalpattu,,,,,35
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Chennai,,,,,28
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Coimbatore,,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Cuddalore,,,,,21
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Dharmapuri,,,,,21
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Dindigul,,,,,29
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Gummidipoondi,,,,,60
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Hosur,,,,,40
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2023",Kanchipuram,,,,,25
